Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	3.096000	14.036000	28.461000	2.445000	34.778000	46.921000	
1.000000	0.099989	2.387000	37.480000	55.629000	2.082000	53.126000	66.451000	
2.000000	0.099976	2.154000	49.997000	65.554000	1.904000	59.791000	73.703000	
3.000000	0.099957	2.024000	56.807000	70.959000	1.846000	68.595000	77.634000	
4.000000	0.099932	1.939000	60.744000	73.677000	1.770000	70.743000	81.361000	
5.000000	0.099902	1.869000	65.882000	77.412000	1.701000	76.345000	84.036000	
6.000000	0.099867	1.832000	68.159000	78.736000	1.725000	75.598000	80.875000	
7.000000	0.099826	1.805000	69.296000	80.029000	1.640000	77.809000	85.008000	
8.000000	0.099780	1.783000	71.818000	81.179000	1.653000	76.916000	84.846000	
9.000000	0.099729	1.753000	72.696000	82.339000	1.581000	81.274000	86.710000	
10.000000	0.099672	1.735000	73.469000	83.072000	1.621000	80.740000	86.426000	
11.000000	0.099610	1.717000	75.481000	84.019000	1.583000	81.383000	87.844000	
12.000000	0.099542	1.710000	76.159000	84.406000	1.579000	80.703000	87.520000	
13.000000	0.099469	1.698000	76.126000	84.691000	1.620000	79.078000	86.062000	
14.000000	0.099391	1.687000	76.654000	84.864000	1.598000	82.068000	86.467000	
15.000000	0.099307	1.683000	77.357000	85.169000	1.562000	83.205000	87.804000	
16.000000	0.099218	1.670000	78.389000	85.912000	1.565000	83.092000	88.331000	
17.000000	0.099123	1.664000	79.175000	86.217000	1.551000	83.190000	88.128000	
18.000000	0.099023	1.657000	79.144000	86.431000	1.557000	85.484000	88.776000	
19.000000	0.098918	1.647000	79.253000	86.350000	1.554000	82.485000	88.047000	
20.000000	0.098808	1.653000	79.046000	86.248000	1.525000	84.542000	89.263000	
21.000000	0.098692	1.640000	79.809000	86.889000	1.545000	83.954000	88.574000	
22.000000	0.098571	1.635000	80.105000	87.174000	1.518000	84.260000	89.830000	
23.000000	0.098445	1.636000	80.809000	87.184000	1.528000	85.094000	89.627000	
24.000000	0.098313	1.627000	80.963000	87.408000	1.518000	85.710000	89.668000	
25.000000	0.098177	1.623000	80.908000	87.500000	1.543000	85.325000	89.465000	
26.000000	0.098035	1.625000	80.588000	87.083000	1.542000	86.404000	88.655000	
27.000000	0.097887	1.616000	81.753000	88.009000	1.531000	85.030000	89.263000	
28.000000	0.097735	1.613000	82.245000	87.999000	1.518000	85.606000	89.425000	
29.000000	0.097577	1.611000	82.252000	88.263000	1.520000	82.859000	89.465000	
30.000000	0.097415	1.607000	82.599000	88.406000	1.528000	85.268000	89.303000	
31.000000	0.097247	1.609000	81.830000	88.162000	1.518000	85.391000	90.519000	
32.000000	0.097074	1.602000	82.780000	88.721000	1.495000	84.221000	90.883000	
33.000000	0.096895	1.599000	82.955000	88.701000	1.525000	84.269000	89.303000	
34.000000	0.096712	1.598000	82.558000	88.518000	1.508000	85.944000	90.276000	
35.000000	0.096524	1.598000	82.839000	88.660000	1.544000	83.991000	89.303000	
36.000000	0.096331	1.593000	82.528000	88.518000	1.529000	85.647000	89.425000	
37.000000	0.096132	1.597000	83.289000	88.793000	1.499000	86.004000	90.276000	
38.000000	0.095929	1.583000	83.236000	88.966000	1.484000	86.416000	91.126000	
39.000000	0.095721	1.592000	83.163000	88.701000	1.527000	84.744000	88.412000	
40.000000	0.095507	1.587000	84.156000	89.210000	1.500000	85.801000	91.045000	
41.000000	0.095289	1.578000	84.241000	89.444000	1.499000	85.659000	90.032000	
42.000000	0.095066	1.585000	83.966000	89.118000	1.504000	87.232000	90.964000	
43.000000	0.094838	1.580000	83.940000	89.444000	1.516000	87.658000	89.344000	
44.000000	0.094605	1.586000	83.025000	88.752000	1.505000	84.821000	90.154000	
45.000000	0.094367	1.576000	84.019000	89.444000	1.491000	86.810000	91.045000	
46.000000	0.094125	1.574000	84.465000	89.607000	1.496000	88.053000	90.478000	
47.000000	0.093877	1.569000	84.775000	89.770000	1.502000	86.023000	90.843000	
48.000000	0.093625	1.570000	84.336000	89.607000	1.531000	85.248000	89.060000	
49.000000	0.093368	1.579000	84.042000	89.292000	1.528000	84.659000	88.209000	
50.000000	0.093107	1.570000	85.054000	89.933000	1.495000	87.165000	90.721000	
51.000000	0.092841	1.566000	84.973000	89.831000	1.483000	86.730000	91.207000	
52.000000	0.092570	1.567000	85.165000	89.912000	1.502000	86.110000	90.154000	
